Category|Question|Answer1|Answer2|Answer3|Answer4|Solution|Correct|Incorrect
Foot|What is the most common cause of mugging?|Red|Up to 25 characterss here|Blue|Up to 25 characterss here|A|Correct, some make you look safe|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Vehicle|What is the most common thing stolen from cars?|Up to 25 characterss here|Windscreens|Mufflers|Red|B|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, actually there are this many
Home|When do most house burlaries happen? There are 80 characters here here here here|Left|Right|Up to 25 characterss here|Up to 25 characterss here|C|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Foot|What is the most common cause of mugging?|Red|Up to 25 characterss here|Blue|Up to 25 characterss here|D|Correct, some make you look safe|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Vehicle|What is the most common thing stolen from cars?|Up to 25 characterss here|Windscreens|Mufflers|Red|A|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, actually there are this many
Home|When do most house burlaries happen? There are 80 characters here here here here|Left|Right|Up to 25 characterss here|Up to 25 characterss here|B|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Foot|What is the most common cause of mugging?|Red|Up to 25 characterss here|Blue|Up to 25 characterss here|C|Correct, some make you look safe|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Vehicle|What is the most common thing stolen from cars?|Up to 25 characterss here|Windscreens|Mufflers|Red|D|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, actually there are this many
Home|When do most house burlaries happen? There are 80 characters here here here here|Left|Right|Up to 25 characterss here|Up to 25 characterss here|A|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Foot|What is the most common cause of mugging?|Red|Up to 25 characterss here|Blue|Up to 25 characterss here|B|Correct, some make you look safe|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Vehicle|What is the most common thing stolen from cars?|Up to 25 characterss here|Windscreens|Mufflers|Red|C|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, actually there are this many
Home|When do most house burlaries happen? There are 80 characters here here here here|Left|Right|Up to 25 characterss here|Up to 25 characterss here|D|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Foot|What is the most common cause of mugging?|Red|Up to 25 characterss here|Blue|Up to 25 characterss here|A|Correct, some make you look safe|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Vehicle|What is the most common thing stolen from cars?|Up to 25 characterss here|Windscreens|Mufflers|Red|B|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, actually there are this many
Home|When do most house burlaries happen? There are 80 characters here here here here|Left|Right|Up to 25 characterss here|Up to 25 characterss here|C|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Foot|What is the most common cause of mugging?|Red|Up to 25 characterss here|Blue|Up to 25 characterss here|D|Correct, some make you look safe|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Vehicle|What is the most common thing stolen from cars?|Up to 25 characterss here|Windscreens|Mufflers|Red|A|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, actually there are this many
Home|When do most house burlaries happen? There are 80 characters here here here here|Left|Right|Up to 25 characterss here|Up to 25 characterss here|B|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Foot|What is the most common cause of mugging?|Red|Up to 25 characterss here|Blue|Up to 25 characterss here|C|Correct, some make you look safe|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Vehicle|What is the most common thing stolen from cars?|Up to 25 characterss here|Windscreens|Mufflers|Red|D|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, actually there are this many
Home|When do most house burlaries happen? There are 80 characters here here here here|Left|Right|Up to 25 characterss here|Up to 25 characterss here|A|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Foot|What is the most common cause of mugging?|Red|Up to 25 characterss here|Blue|Up to 25 characterss here|B|Correct, some make you look safe|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Vehicle|What is the most common thing stolen from cars?|Up to 25 characterss here|Windscreens|Mufflers|Red|C|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, actually there are this many
Home|When do most house burlaries happen? There are 80 characters here here here here|Left|Right|Up to 25 characterss here|Up to 25 characterss here|D|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Foot|What is the most common cause of mugging?|Red|Up to 25 characterss here|Blue|Up to 25 characterss here|A|Correct, some make you look safe|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Vehicle|What is the most common thing stolen from cars?|Up to 25 characterss here|Windscreens|Mufflers|Red|B|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, actually there are this many
Home|When do most house burlaries happen? There are 80 characters here here here here|Left|Right|Up to 25 characterss here|Up to 25 characterss here|C|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Foot|What is the most common cause of mugging?|Red|Up to 25 characterss here|Blue|Up to 25 characterss here|D|Correct, some make you look safe|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Vehicle|What is the most common thing stolen from cars?|Up to 25 characterss here|Windscreens|Mufflers|Red|A|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, actually there are this many
Home|When do most house burlaries happen? There are 80 characters here here here here|Left|Right|Up to 25 characterss here|Up to 25 characterss here|B|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Foot|What is the most common cause of mugging?|Red|Up to 25 characterss here|Blue|Up to 25 characterss here|C|Correct, some make you look safe|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Vehicle|What is the most common thing stolen from cars?|Up to 25 characterss here|Windscreens|Mufflers|Red|D|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, actually there are this many
Home|When do most house burlaries happen? There are 80 characters here here here here|Left|Right|Up to 25 characterss here|Up to 25 characterss here|A|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Foot|What is the most common cause of mugging?|Red|Up to 25 characterss here|Blue|Up to 25 characterss here|B|Correct, some make you look safe|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Vehicle|What is the most common thing stolen from cars?|Up to 25 characterss here|Windscreens|Mufflers|Red|C|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, actually there are this many
Home|When do most house burlaries happen? There are 80 characters here here here here|Left|Right|Up to 25 characterss here|Up to 25 characterss here|D|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Foot|What is the most common cause of mugging?|Red|Up to 25 characterss here|Blue|Up to 25 characterss here|A|Correct, some make you look safe|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Vehicle|What is the most common thing stolen from cars?|Up to 25 characterss here|Windscreens|Mufflers|Red|B|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, actually there are this many
Home|When do most house burlaries happen? There are 80 characters here here here here|Left|Right|Up to 25 characterss here|Up to 25 characterss here|C|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Foot|What is the most common cause of mugging?|Red|Up to 25 characterss here|Blue|Up to 25 characterss here|D|Correct, some make you look safe|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Vehicle|What is the most common thing stolen from cars?|Up to 25 characterss here|Windscreens|Mufflers|Red|A|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, actually there are this many
Home|When do most house burlaries happen? There are 80 characters here here here here|Left|Right|Up to 25 characterss here|Up to 25 characterss here|B|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Foot|What is the most common cause of mugging?|Red|Up to 25 characterss here|Blue|Up to 25 characterss here|C|Correct, some make you look safe|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Vehicle|What is the most common thing stolen from cars?|Up to 25 characterss here|Windscreens|Mufflers|Red|D|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, actually there are this many
Home|When do most house burlaries happen? There are 80 characters here here here here|Left|Right|Up to 25 characterss here|Up to 25 characterss here|A|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Foot|What is the most common cause of mugging?|Red|Up to 25 characterss here|Blue|Up to 25 characterss here|B|Correct, some make you look safe|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Vehicle|What is the most common thing stolen from cars?|Up to 25 characterss here|Windscreens|Mufflers|Red|C|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, actually there are this many
Home|When do most house burlaries happen? There are 80 characters here here here here|Left|Right|Up to 25 characterss here|Up to 25 characterss here|D|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Foot|What is the most common cause of mugging?|Red|Up to 25 characterss here|Blue|Up to 25 characterss here|A|Correct, some make you look safe|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
Vehicle|What is the most common thing stolen from cars?|Up to 25 characterss here|Windscreens|Mufflers|Red|B|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, actually there are this many
Home|When do most house burlaries happen? There are 80 characters here here here here|Left|Right|Up to 25 characterss here|Up to 25 characterss here|C|Correct, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx x yes|Incorrect, some make you look safe 80 characters here xxxx xxxx xe xxxx xxxx yes
